date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:37	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1741341172-ssl-df	https://econest-html.netlify.app/robots.txt		(from )
00:08:37	78501/78501	---MCZ	200	added ('OK')	text/html	etag:%22b71048a36b0d618d3c4034d9e6cbb4c6-ssl-df%22	https://econest-html.netlify.app/econest/	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/index.html	(from )
00:08:38	836/836	---M--	200	added ('OK')	image/webp	etag:%227d749a855ae467c1d91ecf63e53da492-ssl%22	https://econest-html.netlify.app/econest/assets/img/logo/favicon.webp	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/img/logo/favicon.webp	(from https://econest-html.netlify.app/econest/)
00:08:38	71750/71750	---MCZ	200	added ('OK')	text/css	etag:%22bd412ba7a498ecf65dcec6077c5d0cb6-ssl-df%22	https://econest-html.netlify.app/econest/assets/vendor/animate/animate.min.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/vendor/animate/animate.min.css	(from https://econest-html.netlify.app/econest/)
00:08:40	520414/520414	---MCZ	200	added ('OK')	text/css	etag:%22d67fa0ccf19233732f56c2cdd0516532-ssl-df%22	https://econest-html.netlify.app/econest/assets/vendor/fontawesome-pro/fontawesome.min.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/vendor/fontawesome-pro/fontawesome.min.css	(from https://econest-html.netlify.app/econest/)
00:08:40	232803/232803	---MCZ	200	added ('OK')	text/css	etag:%229e167cdf32fea28788d595797198cfba-ssl-df%22	https://econest-html.netlify.app/econest/assets/vendor/bootstrap/bootstrap.min.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/vendor/bootstrap/bootstrap.min.css	(from https://econest-html.netlify.app/econest/)
00:08:40	18458/18458	---MCZ	200	added ('OK')	text/css	etag:%22726b48f0c2209ad49fd7a31f4415b0b0-ssl-df%22	https://econest-html.netlify.app/econest/assets/vendor/swiper/swiper-bundle.min.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/vendor/swiper/swiper-bundle.min.css	(from https://econest-html.netlify.app/econest/)
00:08:41	28765/28765	---MCZ	200	added ('OK')	text/css	etag:%222318a561e9cacdc63cdec1304b77c2ea-ssl-df%22	https://econest-html.netlify.app/econest/assets/vendor/aos/aos.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/vendor/aos/aos.css	(from https://econest-html.netlify.app/econest/)
00:08:42	25374/25374	---MCZ	200	added ('OK')	text/css	etag:%2285df9a3c0337b6624a08b19b3ea1d74b-ssl-df%22	https://econest-html.netlify.app/econest/assets/vendor/fancybox/fancybox.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/vendor/fancybox/fancybox.css	(from https://econest-html.netlify.app/econest/)
00:08:43	88166/88166	---MCZ	200	added ('OK')	text/css	etag:%22040c95e5276cc937bff9544dbafb9de3-ssl-df%22	https://econest-html.netlify.app/econest/assets/css/spacing.css	D:/All%20class/class%2012/econnect/econest-html.netlify.app/econest/assets/css/spacing.css	(from https://econest-html.netlify.app/econest/)
